card_id,card_number,card_holder_name,card_type,expiration_date,cvv,user_id,created_at
00acc216-d82e-4a83-8076-d47d55314b15,47060772474631,ANDY_VANHORN,Visa,2028-07-01,505,1085ee5e-67bd-4a04-a939-110506ec0096,"2024-08-26 17:15:11"
0136767a-8d6a-4aaa-8b64-967d8d64a54f,344657325048838,AUDREY_RAY,"American Express",2025-03-01,784,2d72e422-e1db-425b-886c-1052f564c2ae,"2024-08-26 17:15:11"
0174310f-9da8-4565-8360-b60c58635ab8,340497627344201,EUGENE_CULPEPPER,"American Express",2028-02-01,236,3962b16c-4ac6-492a-9f4b-9210c4e822b4,"2024-08-26 17:15:11"
0201bc7f-e65e-4bc0-aceb-86f12470b7cc,44904667584332,MATTIE_HOFFMAN,Visa,2029-03-01,727,fc1e295a-222e-4f1f-a8d6-a10513146a51,"2024-08-26 17:15:12"
026fc6df-9830-48dc-9196-c9d6bcb0f0ce,60116219314002257,TERRENCE_GUNDERSON,Discover,2025-02-01,360,43b074af-a3b7-425e-8168-c80a21a763e3,"2024-08-26 17:15:11"
02b26f62-9111-47a1-beba-c1dc03ea1ee5,60114151313005505,ANNETTE_OLSON,Discover,2028-01-01,658,b7d242bd-1a6e-4ef9-858f-43c9568cfcf7,"2024-08-26 17:15:12"
02e1b9af-c4e7-4afd-b233-40107db52630,342505450836507,DAISY_BATES,"American Express",2024-11-01,538,a0818176-4a35-4eab-a3fb-17b25afa76ba,"2024-08-26 17:15:12"
03895179-7971-4d67-b467-15d14aa049c1,47445296772531,WILMA_RICHARDS,Visa,2024-01-01,308,e9f3cd6f-6c9f-4df4-8883-b2d0c1252095,"2024-08-26 17:15:12"
039990b8-78f4-422b-be4b-6dbafe06f39e,41157480109109,LILLIAN_GRIFFIN,Visa,2026-02-01,875,0442be35-6b14-452d-83b9-4e30128487d7,"2024-08-26 17:15:11"
03b68ccc-3b69-4a7c-9be5-a6fd0a0c14b0,60116841182735049,JANICE_WARD,Discover,2025-05-01,194,cc854398-40da-4d40-a872-0b063bdb8746,"2024-08-26 17:15:12"
042be8b2-f57a-4f49-90bc-337824a780d4,41110798035193,ANGEL_BARCLAY,Visa,2028-10-01,599,4532a31b-9ca7-4ef8-a132-f3d5a0715329,"2024-08-26 17:15:11"
0476c598-36f2-4315-bded-ea563865124c,348109954945345,MELANIE_ARMSTRONG,"American Express",2028-12-01,129,e8a24a41-dea6-4362-95cd-7e160f940797,"2024-08-26 17:15:12"
05265b2a-ad81-46cb-8dd4-697548e4fad6,342469503606615,LESTER_KRAUS,"American Express",2026-09-01,291,cfcea714-2f0c-4d5e-9958-d3cefcd59837,"2024-08-26 17:15:12"
052f5107-c61f-4e46-adb8-6459c9911f6f,40641890325315,GILBERT_SLEDGE,Visa,2027-11-01,165,4969d33e-bcae-4e27-9c57-3492c2ce5406,"2024-08-26 17:15:11"
0571bcc3-84d3-4f04-9db9-7848b0414318,349007748628102,RANDALL_NEUMANN,"American Express",2029-06-01,522,5c211bc2-2c29-48c0-b3e8-5582780d7592,"2024-08-26 17:15:11"
06080cbf-ac59-41aa-bd6d-3dbb1cc2314c,42272270553967,AGNES_BISHOP,Visa,2030-03-01,566,479f9ff6-e992-4786-a0e9-694834c12ccc,"2024-08-26 17:15:11"
0621d011-181b-4496-8406-3b727266b686,40597351563459,EDITH_MCDONALD,Visa,2030-06-01,573,b30c20df-3da9-4446-a208-00f79feeabbc,"2024-08-26 17:15:12"
068c4a8f-05ef-4212-9f54-d1af7744728a,513407135012978,FREDDIE_DUGGAN,Mastercard,2024-11-01,454,1941092a-d5d6-4d4c-941d-c7e121c9800b,"2024-08-26 17:15:11"
08976140-e1fd-4203-a32e-29b0aed5866b,510057188654591,CURTIS_IRBY,Mastercard,2029-06-01,282,17a20596-4178-43ef-be16-55c8fb8166b9,"2024-08-26 17:15:11"
092a9b67-4ba8-4eca-aa15-3208f98a9df3,60114301938414190,HELEN_HARRIS,Discover,2030-04-01,751,4d280818-86e3-4e31-84a4-19cf47af579b,"2024-08-26 17:15:11"
097ecdc6-d59a-48ef-b4a2-b42446e16cf7,516614361860066,DAVE_GARDINER,Mastercard,2030-02-01,594,473a9158-cbc4-4714-9943-e44bdd980fb2,"2024-08-26 17:15:11"
0985f3c8-b055-46ab-a210-cec4e94e1d1a,60115973074079838,RHONDA_KENNEDY,Discover,2024-11-01,703,0fab2dc4-9c39-4630-a3fe-393b194327e5,"2024-08-26 17:15:11"
09ef95ed-a929-4c1c-b527-ecd1b14469ce,60118712183732897,SAM_MCDUFFIE,Discover,2024-08-01,929,ea676aa5-d030-48c8-967f-0dbee8db6b98,"2024-08-26 17:15:12"
0ba6bdc9-c54e-4c7e-bc97-f2caf6ba1947,60118866273016065,REGINA_BERRY,Discover,2028-09-01,964,b5563a8b-87d8-4c40-8354-ef7521b9583a,"2024-08-26 17:15:12"
0c3f78d6-6f52-4c80-b607-e1f14f9ff43e,60115931524512261,CLARENCE_GAMEZ,Discover,2028-11-01,250,a78acd70-5f8e-45b9-a269-5146df4d8c39,"2024-08-26 17:15:12"
0ef25722-3146-4d0f-9c7f-60f1b02a8b50,47863458261079,MARION_SNYDER,Visa,2027-11-01,607,46206430-8d39-4453-a0c1-f87862ed1c64,"2024-08-26 17:15:11"
0fa5f156-a2a7-4d17-942d-80fad06c5665,48092915245255,JEANETTE_GREENE,Visa,2027-02-01,481,4fea2203-2baa-4477-abb2-f120756682a9,"2024-08-26 17:15:11"
0ff887cf-6821-4471-bf9e-41236ab06cc4,343611706303220,ROLAND_SOUTH,"American Express",2030-12-01,673,80f3eb04-098e-4484-9b8e-01f9326fa012,"2024-08-26 17:15:12"
10723bd4-e773-4df7-94e9-62d6d4e7d220,60116919195018057,MARIAN_MENDOZA,Discover,2024-03-01,147,f7182bb5-098d-4e94-84e6-af20b580e196,"2024-08-26 17:15:12"
10adbb1a-cb6e-4b14-8ed4-85d4c8219ea4,517178735275391,CHARLIE_BESS,Mastercard,2027-04-01,256,1aa1222e-0fe4-4c2d-8a18-487d080da7be,"2024-08-26 17:15:11"
11a55dd3-f92d-476e-8136-f91d9a99fb64,60119097159737701,JILL_HAWKINS,Discover,2024-08-01,484,ef6c071a-379d-446e-a825-38c4df5444d5,"2024-08-26 17:15:12"
12251217-6155-4205-a977-8ebca6a8ba47,515331868323104,KURT_EMMONS,Mastercard,2028-07-01,558,aa8cd750-0530-472e-b8dd-15ab2f2cd202,"2024-08-26 17:15:12"
128f66fa-571e-422f-ad37-297db72e31ad,510182954820777,MINNIE_ROMERO,Mastercard,2026-10-01,982,080a4704-6505-4c30-a8af-3016d9e6a212,"2024-08-26 17:15:11"
